path,size_bytes,sha256
reports\research\ams-rd08-bootstrap-28d-v1.csv,1034,bdefe906c49bfb6bd3d5f637b0e59dcc7fc351c3f84ea574e54212bfb4d0c7b8
reports\research\ams-rd08-bootstrap-7d-v1.csv,1026,2607c89a7d1da3b0ed8faeb2696ac713946eb73865437ece5fa835d0251d10e1
reports\research\ams-rd08-effective-sample-size-v1.csv,4394,d3fcc8e2f3332667877d5d417a7f9ab9ad489c911f355ed02c4a53570adbc35e
reports\research\ams-rd08-fold-metrics-v1.csv,8876,428d206a0eb7d136338c642aae20f53e8c8f16c442dfae5a2751187fcd47a311
reports\research\ams-rd08-gate-ledger-v1.csv,5168,6d8f3cc802a2c460833d8496bf8898fec377167d3f7638112bfab4fe4d8eb6eb
reports\research\ams-rd08-grid-metrics-v1.csv,9298,17082d5937c38bc46e6e07761d68bef7083016627c7948953d6df96d3b414b31
reports\research\ams-rd08-label-coverage-v1.csv,648,b6efa305d216761ecbb6e8bcf8563f1cd0f12201272dc689ae861c242894ed52
reports\research\ams-rd08-label-registry-v1.csv,474,5afa51c820b36d191ec6620e1a9b57e45c957603fd5fe78d37341466ca901657
reports\research\ams-rd08-market-panel-v1.json,617,73fbfa6858739093a95e53e0c2b348d960b769e5529a0839833854cfa711da10
reports\research\ams-rd08-market-panel-v1.parquet,719311,2a08ebebab3294fa2312bc5d05c2826b05ec5c2d3168f9fbec4a1323bf1db3a7
reports\research\ams-rd08-market-timing-diagnostic-v1.json,461,d5d2e85b4404d797375a14eca3940a0f4cded8f98b629412690fbb2f3453d0cc
reports\research\ams-rd08-prior-space-closure-v1.csv,252,45284c8f0c5bd56ae8455eeca465ff07262147e3842ce9cce6b3539f6b0801bf
reports\research\ams-rd08-protocol-registration-v1.json,3839,8b4bc539f18c6f3435b31be18ed3a8b1e0e01830f577eff2e8d710e1e80c67ca
reports\research\ams-rd08-quarter-concentration-v1.csv,8726,6f3ac5eb22d3ff01e029c3074e9a8ff9c9c1feb9e9c4f2dd9b65fabd89734b4d
reports\research\ams-rd08-reconciliation-v1.csv,94,d3ce3f11ec26e18c82f5bf7da936ce3785ccd64272fc737fd100c57065e4bd7e
reports\research\ams-rd08-replication-metrics-v1.csv,6954,6116e8d6f95690ced08da45e05be287ef4e219a2ce5c3bc0386ac83dcf3b6ac3
reports\research\ams-rd08-secondary-horizon-diagnostics-v1.csv,19842,9b8f54c49af0f40e6bdfaa84b3c4ce4e26b6bc8dc2e297576fa7e637f3f10b0c
reports\research\ams-rd08-signal-coverage-v1.csv,647,b4ffdd3d2e8cefea5ed3ee316b6ee7a77a0586f53e19fa5b8da634dd985d132b
reports\research\ams-rd08-signal-ledger-v1.csv,5168,6d8f3cc802a2c460833d8496bf8898fec377167d3f7638112bfab4fe4d8eb6eb
reports\research\ams-rd08-signal-registry-v1.csv,830,16cfacb9f873b0e9fb966cbddfa4251195c3bd10480bd166d3716204c6cf8793
reports\research\ams-rd08-source-reconciliation-v1.csv,736,7cf48a0a49313b20ee8ab3c2e109e5ceb2b8e0a577dd1d269cb33c5ba5c32b5c
reports\research\ams-rd08-temporal-quintile-metrics-v1.csv,23369,aeeaa5074ecc68a6b05c9a4f59083a5d34b7c688cb2303aae45d3017869ab4e5
reports\research\ams-rd08-trial-budget-v1.csv,92,39217450a2eacf5f59846153d7bfc91d8168ab9ddb010018a58adab5e83ae13b
